Id;Namn;Ägare;Nät;Latitud;Longitud;Höjd (m);Från;Till;Aktiv;Mobil;Vattendrag;Vattendragsnr;Area (km²)
154860;Abelvattnet Aut;SMHI;SMHIs stationsnät;65,5300;14,9700;665;1985-05-01;1996-09-01;Nej;Nej;undefined;NaN;NaN
188800;Abisko;SMHI;SMHIs stationsnät;68,3538;18,8166;393,38;1913-01-01;2020-02-01;Nej;Nej;undefined;NaN;NaN
188790;Abisko Aut;Polarforskningssekretariatet;SMHIs stationsnät;68,3538;18,8164;392,235;1985-04-01;2026-02-10;Ja;Ja;undefined;NaN;NaN
158990;Abraur;SMHI;SMHIs stationsnät;65,9857;18,9195;368,079;1991-07-01;2026-02-10;Ja;Ja;undefined;NaN;NaN
85600;Adelsnäs;SMHI;SMHIs stationsnät;58,1998;15,9802;97;1921-07-01;1961-01-01;Nej;Nej;undefined;NaN;NaN
97280;Adelsö A;SMHI;SMHIs stationsnät;59,3579;17,5213;5,612;1995-12-15;2026-02-10;Ja;Ja;undefined;NaN;NaN
92480;Adolfsfors;SMHI;SMHIs stationsnät;59,8000;12,2333;125;1921-07-01;1947-01-01;Nej;Nej;undefined;NaN;NaN
117330;Agö;SMHI;SMHIs stationsnät;61,5500;17,4666;20;1937-04-01;1973-11-01;Nej;Nej;undefined;NaN;NaN
1;Akalla;Icke namngiven ägare;Övriga stationer;59,5000;17,8000;23;2013-01-01;2013-05-01;Nej;Nej;undefined;NaN;NaN
178740;Aktse;SMHI;SMHIs stationsnät;67,1498;18,3061;530;1956-12-01;1981-10-01;Nej;Nej;undefined;NaN;NaN
75040;Allgunnen;SMHI;SMHIs stationsnät;57,0666;15,9681;115;1950-01-01;1980-01-01;Nej;Nej;undefined;NaN;NaN
99090;Almagrundet A;SMHI;SMHIs stationsnät;59,1547;19,1298;3;1961-11-01;2010-03-01;Nej;Nej;undefined;NaN;NaN
134590;Almdalen;SMHI;SMHIs stationsnät;63,9967;14,6701;615;1964-12-01;2026-02-01;Nej;Nej;undefined;NaN;NaN
53640;Alnarp;SMHI;SMHIs stationsnät;55,6500;13,0833;10;1921-07-01;1969-03-01;Nej;Nej;undefined;NaN;NaN
53390;Alnarp Fruktavdelning;SMHI;SMHIs stationsnät;55,6571;13,0923;10;1941-04-01;1970-07-01;Nej;Nej;undefined;NaN;NaN
53750;Alnarp mellangård;SMHI;SMHIs stationsnät;55,6556;13,0511;5;1941-04-01;1951-06-01;Nej;Nej;undefined;NaN;NaN
65361;Alsjö;SMHI;SMHIs stationsnät;56,6262;15,8210;105;1921-07-01;1925-07-01;Nej;Nej;undefined;NaN;NaN
9013;Alskog;SMHI;Övriga stationer;57,3271;18,6162;0;2025-07-02;2026-02-10;Ja;Ja;undefined;NaN;NaN
178790;Aluokta;SMHI;SMHIs stationsnät;67,3094;18,9011;385;1969-12-01;2003-10-01;Nej;Nej;undefined;NaN;NaN
82000;Alvhem;SMHI;SMHIs stationsnät;58,0067;12,1454;5;1951-01-01;1992-01-01;Nej;Nej;undefined;NaN;NaN
73250;Ambjörnarp;SMHI;SMHIs stationsnät;57,4166;13,2833;220;1929-08-01;1972-12-01;Nej;Nej;undefined;NaN;NaN
156990;Ammarnäs;SMHI;SMHIs stationsnät;65,9744;16,2283;440;1971-10-01;2000-09-01;Nej;Nej;undefined;NaN;NaN
74600;Aneboda 2;SMHI;SMHIs stationsnät;57,1167;14,5639;195;1949-06-01;1962-07-01;Nej;Nej;undefined;NaN;NaN
74510;Aneby;SMHI;SMHIs stationsnät;57,8232;14,8913;240;2001-04-01;2005-07-01;Nej;Nej;undefined;NaN;NaN
144530;Ankarvattnet;SMHI;SMHIs stationsnät;64,8666;14,2500;460;1965-01-01;1967-09-01;Nej;Nej;undefined;NaN;NaN
95230;Arboga;SMHI;SMHIs stationsnät;59,3833;15,8333;50;1952-02-01;1971-09-01;Nej;Nej;undefined;NaN;NaN
167710;Arjeplog A;SMHI;SMHIs stationsnät;66,0513;17,8396;430,839;1945-11-01;2026-02-10;Ja;Ja;undefined;NaN;NaN
97390;Arlanda;SMHI;SMHIs stationsnät;59,6600;17,9208;26;1960-01-01;2013-09-01;Nej;Nej;undefined;NaN;NaN
2098;Arlanda 2;SMHI;Övriga stationer;59,6435;17,8933;0;2025-09-11;2025-10-16;Nej;Nej;undefined;NaN;NaN
53770;Arlöv sockerbruk;SMHI;SMHIs stationsnät;55,6333;13,0667;3;1932-05-01;1961-01-01;Nej;Nej;undefined;NaN;NaN
159880;Arvidsjaur A;SMHI;SMHIs stationsnät;65,5941;19,2642;382,45;1945-01-01;2026-02-10;Ja;Ja;undefined;NaN;NaN
92400;Arvika;SMHI;SMHIs stationsnät;59,6658;12,5910;77;1945-10-01;1996-01-01;Nej;Nej;undefined;NaN;NaN
92410;Arvika A;SMHI;SMHIs stationsnät;59,6743;12,6354;65,758;1995-08-01;2026-02-10;Ja;Ja;undefined;NaN;NaN
97630;Aske;SMHI;SMHIs stationsnät;59,6166;17,6500;15;1947-09-01;1963-10-01;Nej;Nej;undefined;NaN;NaN
84660;Askersund;SMHI;SMHIs stationsnät;58,8800;14,9000;100;1951-01-01;1963-02-01;Nej;Nej;undefined;NaN;NaN
94370;Asphyttan;SMHI;SMHIs stationsnät;59,6112;14,1859;130;1982-08-01;1996-02-01;Nej;Nej;undefined;NaN;NaN
106070;Avesta;SMHI;SMHIs stationsnät;60,1413;16,1715;99,043;1977-01-01;2026-02-10;Ja;Ja;undefined;NaN;NaN
84340;Axstål;Försvarsmakten;SMHIs stationsnät;58,5710;14,5570;88,5;2006-06-01;2026-02-10;Ja;Ja;undefined;NaN;NaN
105550;Backa;SMHI;SMHIs stationsnät;60,9230;15,1145;230;1974-06-01;1995-10-01;Nej;Nej;undefined;NaN;NaN
